date,region,disaster_type,negative_emotion,neutral_emotion,positive_emotion
2023-09-15,충청남도,['환경오염사고'],0.28,0.21,0.51
2023-09-16,강원특별자치도,['호우'],0.38,0.41,0.21
2023-09-16,경기도,['호우'],0.5,0.22,0.28
2023-09-16,경상남도,"['교통통제', '호우']",0.28,0.44,0.28
2023-09-16,경상북도,['호우'],0.49,0.17,0.34
2023-09-16,광주광역시,['호우'],0.57,0.4,0.03
2023-09-16,대전광역시,['호우'],0.58,0.36,0.06
2023-09-16,부산광역시,['호우'],0.35,0.43,0.22
2023-09-16,세종특별자치시,['호우'],0.42,0.26,0.32
2023-09-16,울산광역시,['호우'],0.47,0.27,0.26
2023-09-16,전라남도,['호우'],0.43,0.33,0.24
2023-09-16,전라북도,"['호우', '산사태']",0.59,0.26,0.15
2023-09-16,제주특별자치도,['호우'],0.46,0.51,0.03
2023-09-16,충청남도,['호우'],0.27,0.23,0.5
2023-09-16,충청북도,"['교통통제', '호우', '산사태']",0.46,0.33,0.21
2023-09-17,경상남도,"['교통통제', '호우']",0.26,0.7,0.04
2023-09-17,부산광역시,"['한파', '호우', '산사태']",0.45,0.41,0.14
2023-09-17,울산광역시,"['태풍', '호우']",0.26,0.15,0.59
2023-09-17,전라남도,['호우'],0.55,0.31,0.14
2023-09-17,제주특별자치도,['호우'],0.2,0.45,0.35
2023-09-18,경상남도,['교통통제'],0.36,0.15,0.49
2023-09-18,경상북도,['산사태'],0.26,0.26,0.48
2023-09-18,부산광역시,['정전'],0.23,0.32,0.45
2023-09-18,세종특별자치시,['수도'],0.4,0.22,0.38
2023-09-19,경상남도,['교통통제'],0.33,0.29,0.38
2023-09-19,서울특별시,['교통통제'],0.5,0.45,0.05
2023-09-19,충청남도,['교통통제'],0.37,0.28,0.35
2023-09-20,강원특별자치도,"['호우', '산사태']",0.42,0.57,0.01
2023-09-20,경기도,"['교통통제', '호우', '붕괴']",0.32,0.17,0.51
2023-09-20,경상남도,"['교통통제', '강풍', '호우']",0.31,0.45,0.24
2023-09-20,경상북도,"['홍수', '호우', '산사태', '강풍']",0.23,0.12,0.65
2023-09-20,대구광역시,"['호우', '산사태']",0.4,0.36,0.24
2023-09-20,대전광역시,"['홍수', '호우', '산사태']",0.26,0.21,0.53
2023-09-20,부산광역시,"['호우', '산사태']",0.44,0.39,0.17
2023-09-20,세종특별자치시,"['호우', '산사태']",0.5,0.36,0.14
2023-09-20,울산광역시,['호우'],0.38,0.27,0.35
2023-09-20,인천광역시,['호우'],0.49,0.38,0.13
2023-09-20,전라남도,['호우'],0.58,0.15,0.27
2023-09-20,전라북도,['호우'],0.43,0.33,0.24
2023-09-20,제주특별자치도,['호우'],0.54,0.14,0.32
2023-09-20,충청남도,"['홍수', '호우', '산사태']",0.41,0.38,0.21
2023-09-20,충청북도,"['호우', '산사태']",0.51,0.13,0.36
2023-09-21,경기도,"['교통통제', '수도']",0.49,0.34,0.17
2023-09-21,경상남도,"['교통통제', '강풍', '호우']",0.42,0.28,0.3
2023-09-21,경상북도,"['풍랑', '호우', '산사태']",0.23,0.54,0.23
2023-09-21,대구광역시,['호우'],0.58,0.34,0.08
2023-09-21,부산광역시,"['교통통제', '호우', '산사태']",0.31,0.55,0.14
2023-09-21,울산광역시,['호우'],0.24,0.72,0.04
2023-09-21,충청남도,['홍수'],0.44,0.55,0.01
2023-09-21,충청북도,['호우'],0.24,0.44,0.32
2023-09-22,강원특별자치도,['교통통제'],0.39,0.2,0.41
2023-09-22,경상남도,['교통통제'],0.22,0.35,0.43
2023-09-22,경상북도,"['산불', '호우']",0.47,0.21,0.32
2023-09-22,부산광역시,['호우'],0.3,0.42,0.28
2023-09-22,울산광역시,['교통통제'],0.47,0.13,0.4
2023-09-23,강원특별자치도,['교통통제'],0.25,0.52,0.23
2023-09-23,경상남도,['교통통제'],0.22,0.7,0.08
2023-09-23,부산광역시,['호우'],0.53,0.42,0.05
2023-09-23,인천광역시,['교통통제'],0.23,0.73,0.04
2023-09-23,충청남도,['교통통제'],0.44,0.48,0.08
2023-09-23,충청북도,['호우'],0.5,0.1,0.4
2023-09-24,경상남도,['교통통제'],0.28,0.31,0.41
2023-09-24,세종특별자치시,['정전'],0.46,0.19,0.35
2023-09-24,충청북도,['호우'],0.22,0.16,0.62
2023-09-25,경기도,['교통통제'],0.46,0.49,0.05
2023-09-25,경상남도,['교통통제'],0.3,0.53,0.17
2023-09-25,충청북도,"['교통통제', '전염병']",0.31,0.58,0.11
2023-09-26,경기도,['교통통제'],0.51,0.45,0.04
2023-09-26,경상북도,['호우'],0.57,0.24,0.19
2023-09-26,충청북도,['전염병'],0.47,0.33,0.2
2023-09-27,경기도,['전염병'],0.3,0.51,0.19
2023-09-27,서울특별시,['교통통제'],0.48,0.34,0.18
2023-09-27,인천광역시,['화재'],0.33,0.14,0.53
2023-09-27,전라남도,['수도'],0.39,0.29,0.32
2023-09-27,충청북도,['전염병'],0.45,0.49,0.06
2023-09-28,전라남도,['교통사고'],0.44,0.34,0.22
2023-09-29,인천광역시,['화재'],0.25,0.26,0.49
2023-10-01,경기도,['화재'],0.23,0.22,0.55
2023-10-01,전라북도,['교통통제'],0.33,0.27,0.4
2023-10-02,경기도,['화재'],0.22,0.39,0.39
2023-10-04,경상남도,['교통사고'],0.5,0.15,0.35
2023-10-04,경상북도,['풍랑'],0.58,0.42,0.0
2023-10-04,전라남도,['강풍'],0.39,0.34,0.27
2023-10-05,전라북도,['화재'],0.43,0.46,0.11
2023-10-06,강원특별자치도,['화재'],0.37,0.59,0.04
2023-10-06,서울특별시,['화재'],0.47,0.27,0.26
2023-10-07,경상북도,['풍랑'],0.58,0.31,0.11
2023-10-07,서울특별시,"['교통통제', '통신']",0.58,0.23,0.19
2023-10-08,강원특별자치도,['풍랑'],0.43,0.16,0.41
2023-10-09,전라남도,['수도'],0.31,0.21,0.48
2023-10-10,대전광역시,['교통통제'],0.49,0.48,0.03
2023-10-11,경기도,['화재'],0.46,0.22,0.32
2023-10-11,서울특별시,['교통통제'],0.4,0.15,0.45
2023-10-12,경기도,['화재'],0.32,0.29,0.39
2023-10-12,충청남도,"['교통통제', '교통사고', '화재']",0.52,0.48,0.0
2023-10-17,경기도,['교통통제'],0.48,0.43,0.09
2023-10-18,전라남도,['수도'],0.43,0.13,0.44
2023-10-20,전라남도,"['교통통제', '강풍']",0.43,0.25,0.32
2023-10-21,경상남도,['교통통제'],0.44,0.45,0.11
2023-10-21,충청북도,['교통사고'],0.22,0.47,0.31
2023-10-22,경상남도,['교통통제'],0.52,0.18,0.3
2023-10-23,광주광역시,['화재'],0.22,0.47,0.31
2023-10-24,경기도,['교통통제'],0.58,0.37,0.05
2023-10-25,경기도,"['교통통제', '교통사고', '수도']",0.56,0.32,0.12
2023-10-25,경상남도,"['전염병', '수도']",0.24,0.41,0.35
2023-10-25,대전광역시,['지진'],0.58,0.16,0.26
2023-10-25,충청남도,['지진'],0.46,0.13,0.41
2023-10-26,강원특별자치도,['호우'],0.3,0.57,0.13
2023-10-26,경기도,['교통통제'],0.3,0.69,0.01
2023-10-26,전라남도,['강풍'],0.37,0.56,0.07
2023-10-26,충청남도,['지진'],0.52,0.29,0.19
2023-10-27,경기도,['교통통제'],0.28,0.58,0.14
2023-10-27,경상남도,['교통사고'],0.35,0.35,0.3
2023-10-27,경상북도,['풍랑'],0.44,0.48,0.08
2023-10-27,전라남도,['교통사고'],0.59,0.28,0.13
2023-10-28,강원특별자치도,['풍랑'],0.51,0.49,0.0
2023-10-28,부산광역시,['산사태'],0.43,0.14,0.43
2023-10-29,강원특별자치도,['풍랑'],0.5,0.39,0.11
2023-10-30,서울특별시,['교통통제'],0.48,0.49,0.03
2023-10-31,경상남도,['교통사고'],0.56,0.4,0.04
2023-10-31,인천광역시,['교통사고'],0.55,0.43,0.02
2023-11-01,경기도,"['산불', '화재']",0.43,0.25,0.32
2023-11-01,대전광역시,['환경오염사고'],0.44,0.23,0.33
2023-11-02,경기도,['화재'],0.35,0.26,0.39
2023-11-03,경상북도,['환경오염사고'],0.37,0.45,0.18
2023-11-04,강원특별자치도,['풍랑'],0.23,0.44,0.33
2023-11-04,서울특별시,['교통통제'],0.36,0.21,0.43
2023-11-04,인천광역시,['호우'],0.35,0.29,0.36
2023-11-05,강원특별자치도,['호우'],0.41,0.58,0.01
2023-11-05,경기도,"['강풍', '호우']",0.29,0.26,0.45
2023-11-05,경상남도,"['강풍', '호우']",0.39,0.53,0.08
2023-11-05,경상북도,['강풍'],0.57,0.16,0.27
2023-11-05,서울특별시,"['강풍', '호우']",0.52,0.23,0.25
2023-11-05,세종특별자치시,['강풍'],0.55,0.44,0.01
2023-11-05,충청남도,"['강풍', '호우']",0.35,0.22,0.43
2023-11-06,강원특별자치도,"['한파', '강풍', '산불', '호우', '풍랑']",0.5,0.3,0.2
2023-11-06,경기도,"['한파', '강풍', '호우', '풍랑']",0.49,0.36,0.15
2023-11-06,경상남도,"['강풍', '호우']",0.58,0.26,0.16
2023-11-06,경상북도,"['한파', '강풍', '풍랑']",0.52,0.15,0.33
2023-11-06,대전광역시,['호우'],0.39,0.33,0.28
2023-11-06,부산광역시,"['강풍', '호우']",0.33,0.51,0.16
2023-11-06,서울특별시,"['한파', '강풍']",0.36,0.52,0.12
2023-11-06,세종특별자치시,['강풍'],0.28,0.64,0.08
2023-11-06,인천광역시,['강풍'],0.57,0.18,0.25
2023-11-06,전라남도,"['강풍', '호우']",0.42,0.29,0.29
2023-11-06,전라북도,['풍랑'],0.54,0.31,0.15
2023-11-06,제주특별자치도,['강풍'],0.29,0.15,0.56
2023-11-06,충청남도,"['강풍', '풍랑']",0.6,0.23,0.17
2023-11-07,경기도,['한파'],0.28,0.12,0.6
2023-11-07,경상북도,['한파'],0.47,0.16,0.37
2023-11-07,대구광역시,['한파'],0.46,0.27,0.27
2023-11-07,서울특별시,['화재'],0.33,0.41,0.26
2023-11-09,강원특별자치도,['산불'],0.27,0.12,0.61
2023-11-10,경기도,['화재'],0.59,0.2,0.21
2023-11-10,경상남도,"['한파', '교통사고']",0.36,0.47,0.17
2023-11-10,경상북도,"['한파', '풍랑']",0.59,0.16,0.25
2023-11-10,부산광역시,['한파'],0.47,0.44,0.09
2023-11-10,충청북도,['한파'],0.24,0.46,0.3
2023-11-11,강원특별자치도,['풍랑'],0.4,0.37,0.23
2023-11-11,경상남도,['한파'],0.49,0.36,0.15
2023-11-11,경상북도,['한파'],0.29,0.56,0.15
2023-11-11,충청남도,['화재'],0.47,0.41,0.12
2023-11-12,경상북도,['한파'],0.29,0.63,0.08
2023-11-12,부산광역시,['한파'],0.39,0.41,0.2
2023-11-12,서울특별시,['화재'],0.45,0.23,0.32
2023-11-13,강원특별자치도,['교통통제'],0.47,0.48,0.05
2023-11-13,경상남도,['화재'],0.25,0.55,0.2
2023-11-13,경상북도,['한파'],0.22,0.2,0.58
2023-11-14,강원특별자치도,"['교통통제', '산사태']",0.56,0.31,0.13
2023-11-14,경기도,"['교통통제', '화재']",0.58,0.31,0.11
2023-11-14,경상북도,['화재'],0.49,0.39,0.12
2023-11-14,서울특별시,['화재'],0.54,0.22,0.24
2023-11-15,경상북도,['화재'],0.36,0.52,0.12
2023-11-16,강원특별자치도,['대설'],0.27,0.16,0.57
2023-11-16,경기도,"['한파', '대설']",0.41,0.36,0.23
2023-11-16,경상북도,"['호우', '대설']",0.31,0.5,0.19
2023-11-16,전라북도,['대설'],0.26,0.38,0.36
2023-11-16,충청남도,"['한파', '대설']",0.27,0.36,0.37
2023-11-16,충청북도,['한파'],0.34,0.55,0.11
2023-11-17,경기도,"['한파', '대설']",0.2,0.77,0.03
2023-11-17,경상남도,"['강풍', '대설']",0.36,0.21,0.43
2023-11-17,경상북도,"['한파', '강풍', '풍랑', '대설']",0.29,0.17,0.54
2023-11-17,대구광역시,['대설'],0.58,0.35,0.07
2023-11-17,세종특별자치시,['대설'],0.56,0.2,0.24
2023-11-17,전라남도,['대설'],0.57,0.12,0.31
2023-11-17,전라북도,"['한파', '대설']",0.25,0.34,0.41
2023-11-17,제주특별자치도,"['풍랑', '강풍', '대설']",0.41,0.35,0.24
2023-11-17,충청남도,"['풍랑', '대설']",0.53,0.17,0.3
2023-11-17,충청북도,['대설'],0.41,0.49,0.1
2023-11-18,경기도,['대설'],0.34,0.25,0.41
2023-11-18,경상남도,"['한파', '강풍', '대설']",0.2,0.2,0.6
2023-11-18,경상북도,['강풍'],0.38,0.3,0.32
2023-11-18,광주광역시,['대설'],0.36,0.54,0.1
2023-11-18,대전광역시,['대설'],0.51,0.38,0.11
2023-11-18,부산광역시,"['한파', '교통통제', '화재', '대설']",0.43,0.24,0.33
2023-11-18,서울특별시,['화재'],0.26,0.7,0.04
2023-11-18,세종특별자치시,['대설'],0.39,0.35,0.26
2023-11-18,울산광역시,"['한파', '대설']",0.47,0.36,0.17
2023-11-18,전라남도,"['강풍', '대설']",0.52,0.21,0.27
2023-11-18,전라북도,"['한파', '대설']",0.41,0.27,0.32
2023-11-18,충청남도,"['한파', '강풍', '대설']",0.38,0.29,0.33
2023-11-20,경상북도,['산불'],0.5,0.44,0.06
2023-11-20,서울특별시,['화재'],0.54,0.1,0.36
2023-11-21,인천광역시,['민방공'],0.57,0.11,0.32
2023-11-23,강원특별자치도,['한파'],0.44,0.19,0.37
2023-11-23,경기도,['한파'],0.35,0.32,0.33
2023-11-23,경상북도,"['한파', '풍랑', '산불']",0.25,0.7,0.05
2023-11-23,부산광역시,['한파'],0.4,0.43,0.17
2023-11-23,서울특별시,['한파'],0.49,0.31,0.2
2023-11-23,세종특별자치시,['대설'],0.54,0.24,0.22
2023-11-23,전라남도,"['한파', '대설']",0.38,0.48,0.14
2023-11-24,강원특별자치도,['한파'],0.37,0.29,0.34
2023-11-24,경기도,"['한파', '대설']",0.41,0.3,0.29
2023-11-24,경상남도,['한파'],0.24,0.13,0.63
2023-11-24,경상북도,"['한파', '강풍']",0.58,0.38,0.04
2023-11-24,부산광역시,['한파'],0.56,0.12,0.32
2023-11-24,세종특별자치시,['한파'],0.25,0.45,0.3
2023-11-24,충청남도,['한파'],0.31,0.2,0.49
2023-11-25,경기도,['정전'],0.49,0.22,0.29
2023-11-25,경상남도,['한파'],0.42,0.49,0.09
2023-11-25,경상북도,['한파'],0.42,0.35,0.23
2023-11-25,전라남도,['교통사고'],0.53,0.33,0.14
2023-11-25,충청남도,"['지진', '화재']",0.23,0.42,0.35
2023-11-26,경기도,['화재'],0.32,0.39,0.29
2023-11-27,경상북도,['한파'],0.38,0.36,0.26
2023-11-28,경기도,"['화재', '대설']",0.54,0.44,0.02
2023-11-28,경상남도,['호우'],0.57,0.16,0.27
2023-11-28,경상북도,['강풍'],0.39,0.25,0.36
2023-11-28,전라남도,['수도'],0.3,0.46,0.24
2023-11-29,강원특별자치도,"['한파', '대설']",0.4,0.18,0.42
2023-11-29,경기도,"['한파', '대설']",0.41,0.1,0.49
2023-11-29,경상북도,"['한파', '강풍']",0.34,0.4,0.26
2023-11-29,세종특별자치시,['대설'],0.3,0.37,0.33
2023-11-29,충청북도,"['교통통제', '대설']",0.37,0.52,0.11
2023-11-30,강원특별자치도,['지진'],0.33,0.45,0.22
2023-11-30,경기도,['한파'],0.28,0.16,0.56
2023-11-30,경상남도,['수도'],0.29,0.68,0.03
2023-11-30,경상북도,"['통신', '산불']",0.32,0.12,0.56
2023-11-30,부산광역시,['지진'],0.25,0.35,0.4
2023-11-30,세종특별자치시,"['지진', '대설']",0.49,0.44,0.07
2023-11-30,울산광역시,['지진'],0.47,0.26,0.27
2023-11-30,전라남도,"['한파', '대설']",0.36,0.34,0.3
2023-11-30,전라북도,"['지진', '대설']",0.53,0.4,0.07
2023-11-30,충청남도,['한파'],0.41,0.43,0.16
2023-12-01,대구광역시,['환경오염사고'],0.34,0.65,0.01
2023-12-01,전라남도,['대설'],0.24,0.31,0.45
2023-12-01,제주특별자치도,['대설'],0.37,0.39,0.24
2023-12-01,충청남도,"['한파', '교통통제', '대설']",0.34,0.58,0.08
2023-12-05,경상남도,['교통사고'],0.54,0.13,0.33
2023-12-05,부산광역시,['화재'],0.51,0.45,0.04
2023-12-05,세종특별자치시,['정전'],0.3,0.5,0.2
2023-12-06,강원특별자치도,"['한파', '대설']",0.38,0.23,0.39
2023-12-06,경상남도,['한파'],0.56,0.4,0.04
2023-12-06,경상북도,"['한파', '강풍']",0.48,0.11,0.41
2023-12-06,울산광역시,['가뭄'],0.42,0.5,0.08
2023-12-07,경기도,"['한파', '대설']",0.21,0.7,0.09
2023-12-07,경상남도,['한파'],0.39,0.34,0.27
2023-12-07,경상북도,['산불'],0.5,0.21,0.29
2023-12-08,강원특별자치도,['건조'],0.37,0.44,0.19
2023-12-08,경기도,['화재'],0.26,0.49,0.25
2023-12-08,세종특별자치시,['교통사고'],0.21,0.6,0.19
2023-12-09,세종특별자치시,['정전'],0.58,0.23,0.19
2023-12-09,전라북도,['전염병'],0.31,0.52,0.17
2023-12-10,부산광역시,['호우'],0.3,0.43,0.27
2023-12-11,강원특별자치도,"['한파', '풍랑', '호우', '대설']",0.47,0.37,0.16
2023-12-11,경상남도,['강풍'],0.27,0.25,0.48
2023-12-11,경상북도,"['강풍', '호우', '산사태', '풍랑']",0.51,0.36,0.13
2023-12-11,울산광역시,['풍랑'],0.35,0.58,0.07
2023-12-11,전라남도,"['강풍', '호우']",0.43,0.29,0.28
2023-12-11,제주특별자치도,['호우'],0.41,0.2,0.39
2023-12-11,충청북도,['교통사고'],0.52,0.24,0.24
2023-12-12,강원특별자치도,['대설'],0.36,0.37,0.27
2023-12-12,경기도,['대설'],0.5,0.47,0.03
2023-12-12,경상북도,"['강풍', '풍랑']",0.6,0.1,0.3
2023-12-12,대전광역시,['화재'],0.34,0.26,0.4
2023-12-13,경상남도,['대설'],0.4,0.58,0.02
2023-12-14,강원특별자치도,"['한파', '대설']",0.4,0.46,0.14
2023-12-14,경상북도,['호우'],0.25,0.63,0.12
2023-12-15,강원특별자치도,"['한파', '대설', '풍랑', '호우', '교통통제']",0.21,0.61,0.18
2023-12-15,경기도,"['한파', '호우', '대설']",0.33,0.61,0.06
2023-12-15,경상남도,['한파'],0.33,0.17,0.5
2023-12-15,경상북도,"['한파', '풍랑', '호우', '강풍']",0.47,0.29,0.24
2023-12-15,광주광역시,['한파'],0.32,0.14,0.54
2023-12-15,대구광역시,['한파'],0.27,0.3,0.43
2023-12-15,부산광역시,"['한파', '호우']",0.51,0.49,0.0
2023-12-15,서울특별시,['한파'],0.48,0.28,0.24
2023-12-15,세종특별자치시,['호우'],0.2,0.61,0.19
2023-12-15,울산광역시,['호우'],0.49,0.5,0.01
2023-12-15,전라남도,"['한파', '강풍', '대설']",0.28,0.7,0.02
2023-12-15,전라북도,"['한파', '대설']",0.44,0.14,0.42
2023-12-15,제주특별자치도,['환경오염사고'],0.37,0.6,0.03
2023-12-15,충청남도,"['한파', '호우']",0.37,0.43,0.2
2023-12-15,충청북도,['한파'],0.36,0.1,0.54
2023-12-16,강원특별자치도,"['한파', '교통통제', '풍랑', '대설']",0.4,0.31,0.29
2023-12-16,경기도,"['한파', '교통사고', '대설']",0.52,0.48,0.0
2023-12-16,경상남도,"['한파', '호우', '대설']",0.58,0.41,0.01
2023-12-16,경상북도,"['한파', '강풍', '화재', '대설']",0.57,0.36,0.07
2023-12-16,광주광역시,['대설'],0.4,0.2,0.4
2023-12-16,대구광역시,['한파'],0.49,0.36,0.15
2023-12-16,대전광역시,['한파'],0.31,0.14,0.55
2023-12-16,부산광역시,['한파'],0.45,0.5,0.05
2023-12-16,서울특별시,"['한파', '강풍']",0.3,0.28,0.42
2023-12-16,세종특별자치시,['대설'],0.34,0.16,0.5
2023-12-16,울산광역시,['한파'],0.26,0.44,0.3
2023-12-16,전라남도,"['한파', '풍랑', '대설']",0.49,0.14,0.37
2023-12-16,전라북도,"['한파', '교통사고', '대설']",0.21,0.55,0.24
2023-12-16,제주특별자치도,"['풍랑', '강풍', '대설']",0.42,0.16,0.42
2023-12-16,충청남도,"['한파', '대설']",0.27,0.5,0.23
2023-12-16,충청북도,"['한파', '대설']",0.27,0.68,0.05
2023-12-17,강원특별자치도,"['한파', '풍랑']",0.55,0.19,0.26
2023-12-17,경기도,"['한파', '대설']",0.27,0.45,0.28
2023-12-17,경상남도,['한파'],0.55,0.17,0.28
2023-12-17,경상북도,"['한파', '태풍', '풍랑', '강풍']",0.47,0.17,0.36
2023-12-17,광주광역시,['대설'],0.54,0.11,0.35
2023-12-17,부산광역시,['한파'],0.54,0.11,0.35
2023-12-17,서울특별시,['한파'],0.53,0.29,0.18
2023-12-17,세종특별자치시,['대설'],0.52,0.39,0.09
2023-12-17,울산광역시,['한파'],0.54,0.39,0.07
2023-12-17,전라남도,"['한파', '대설']",0.46,0.27,0.27
2023-12-17,전라북도,"['한파', '화재', '대설']",0.58,0.24,0.18
2023-12-17,제주특별자치도,['대설'],0.57,0.19,0.24
2023-12-17,충청남도,"['한파', '대설']",0.21,0.25,0.54
2023-12-17,충청북도,['한파'],0.59,0.41,0.0
2023-12-18,강원특별자치도,['교통통제'],0.53,0.37,0.1
2023-12-18,경기도,"['한파', '교통사고', '교통']",0.37,0.45,0.18
2023-12-18,경상남도,"['한파', '건조']",0.44,0.14,0.42
2023-12-18,경상북도,['한파'],0.53,0.37,0.1
2023-12-18,부산광역시,['한파'],0.55,0.32,0.13
2023-12-18,세종특별자치시,['한파'],0.34,0.15,0.51
2023-12-18,인천광역시,['대설'],0.55,0.28,0.17
2023-12-18,제주특별자치도,['대설'],0.56,0.21,0.23
2023-12-18,충청남도,['한파'],0.49,0.27,0.24
2023-12-18,충청북도,['한파'],0.55,0.31,0.14
2023-12-19,강원특별자치도,"['한파', '교통통제', '교통']",0.38,0.42,0.2
2023-12-19,경기도,"['한파', '대설']",0.38,0.44,0.18
2023-12-19,경상남도,['건조'],0.22,0.12,0.66
2023-12-19,대전광역시,['화재'],0.5,0.27,0.23
2023-12-19,부산광역시,['대설'],0.41,0.19,0.4
2023-12-19,전라남도,['한파'],0.24,0.26,0.5
2023-12-19,충청북도,['대설'],0.5,0.19,0.31
2023-12-20,강원특별자치도,['한파'],0.49,0.26,0.25
2023-12-20,경기도,"['한파', '화재', '대설']",0.44,0.14,0.42
2023-12-20,경상남도,"['한파', '대설']",0.53,0.15,0.32
2023-12-20,경상북도,"['한파', '강풍', '대설']",0.48,0.29,0.23
2023-12-20,광주광역시,['대설'],0.29,0.23,0.48
2023-12-20,대구광역시,"['한파', '대설']",0.58,0.2,0.22
2023-12-20,대전광역시,['한파'],0.51,0.34,0.15
2023-12-20,부산광역시,['한파'],0.34,0.44,0.22
2023-12-20,서울특별시,['한파'],0.53,0.1,0.37
2023-12-20,세종특별자치시,['대설'],0.44,0.39,0.17
2023-12-20,울산광역시,['대설'],0.33,0.45,0.22
2023-12-20,인천광역시,['한파'],0.21,0.72,0.07
2023-12-20,전라남도,"['한파', '대설']",0.28,0.29,0.43
2023-12-20,전라북도,"['한파', '대설']",0.28,0.68,0.04
2023-12-20,제주특별자치도,"['강풍', '대설']",0.35,0.56,0.09
2023-12-20,충청남도,"['한파', '대설']",0.39,0.49,0.12
2023-12-20,충청북도,['한파'],0.47,0.46,0.07
2023-12-21,강원특별자치도,['한파'],0.33,0.23,0.44
2023-12-21,경기도,['한파'],0.22,0.68,0.1
2023-12-21,경상남도,['한파'],0.46,0.34,0.2
2023-12-21,경상북도,"['한파', '강풍', '풍랑', '대설']",0.42,0.22,0.36
2023-12-21,광주광역시,['대설'],0.44,0.28,0.28
2023-12-21,대구광역시,['한파'],0.26,0.59,0.15
2023-12-21,부산광역시,['한파'],0.23,0.65,0.12
2023-12-21,세종특별자치시,['대설'],0.45,0.5,0.05
2023-12-21,전라남도,"['한파', '대설']",0.39,0.39,0.22
2023-12-21,전라북도,"['한파', '대설']",0.57,0.31,0.12
2023-12-21,제주특별자치도,"['풍랑', '강풍', '대설']",0.42,0.42,0.16
2023-12-21,충청남도,"['한파', '교통사고', '대설']",0.3,0.57,0.13
2023-12-21,충청북도,"['한파', '화재']",0.31,0.22,0.47
2023-12-22,강원특별자치도,"['한파', '건조', '대설']",0.23,0.15,0.62
2023-12-22,경기도,['한파'],0.45,0.19,0.36
2023-12-22,경상북도,"['한파', '강풍', '풍랑']",0.53,0.23,0.24
